experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
rpmc,100,3,2,vacuole,1,3379,3171,1329,1164,1110,1074,985,883,823,776,732,691,650,608,569,552,542,528,515,501,488,481,478,466,457,448,438,435,429,421,418,414,414,410,410,407,406,404,402,401,396,387,383,368,364,359,359,354,344,339,331,319,307,294,287,274,259,249,244,236,232,226,221,215,212,210,207,203,200,196,192,189,186,184,181,179,176,175,172,165,158,153,143,135,126,116,109,104,97,94,92,88,83,81,80,77,73,56,46,32
rpmc,100,3,2,vacuole,2,7335,6930,4166,3696,3521,3379,3091,2672,2468,2315,2165,1980,1830,1669,1581,1514,1460,1425,1395,1375,1356,1347,1343,1334,1328,1316,1309,1303,1299,1295,1288,1281,1278,1271,1260,1252,1244,1226,1202,1181,1163,1136,1115,1081,1062,1038,1023,1012,995,958,925,884,843,821,799,778,745,725,707,691,680,670,657,641,626,610,604,595,585,578,572,568,549,533,516,505,495,482,469,444,420,399,382,353,328,311,296,285,277,267,256,243,229,214,207,197,173,144,71,42
rpmc,100,3,2,vacuole,3,1883,1748,682,600,541,521,459,411,389,367,357,335,313,299,285,277,269,261,255,252,250,248,247,243,238,234,233,231,231,230,230,229,229,229,228,227,226,223,221,221,215,195,183,161,152,148,144,139,130,122,113,106,99,84,82,76,75,73,71,70,70,67,66,66,64,64,61,61,61,61,58,58,58,57,56,54,53,52,52,52,50,50,48,45,44,43,43,43,43,43,42,42,42,41,38,37,37,34,29,24
rpmc,100,3,2,vacuole,4,9422,8912,6460,5874,5577,5377,5069,4743,4422,4186,3934,3684,3385,3153,2953,2800,2698,2627,2570,2534,2495,2452,2412,2386,2357,2319,2285,2251,2219,2200,2173,2157,2142,2131,2121,2111,2100,2082,2053,2028,2005,1961,1938,1912,1888,1865,1845,1823,1793,1765,1728,1692,1650,1609,1573,1532,1489,1448,1414,1382,1352,1319,1293,1265,1238,1210,1196,1183,1177,1167,1161,1156,1150,1140,1125,1114,1110,1099,1072,1035,995,941,893,863,831,782,752,705,660,626,588,566,547,526,499,474,419,353,268,179
rpmc,100,3,2,vacuole,5,4403,4219,2266,2111,2014,1936,1794,1645,1537,1445,1350,1261,1153,1074,1017,968,939,917,898,881,872,865,861,856,853,849,847,847,846,839,835,831,829,825,822,820,816,814,805,793,777,752,735,706,688,674,663,659,632,609,585,558,548,526,509,497,487,480,466,457,453,450,441,435,423,415,411,407,402,401,399,395,390,385,376,374,371,365,359,346,329,323,309,294,277,270,262,258,255,249,244,231,225,213,210,204,172,134,69,51
rpmc,100,3,2,vacuole,6,6739,6323,4098,3631,3469,3339,3125,2821,2606,2452,2314,2164,2015,1866,1763,1671,1618,1594,1567,1545,1531,1524,1516,1508,1496,1487,1483,1476,1470,1461,1456,1452,1445,1431,1424,1415,1409,1401,1377,1353,1341,1323,1301,1272,1256,1235,1220,1207,1191,1170,1146,1118,1089,1067,1049,1025,1007,975,954,938,918,903,887,868,854,840,830,820,809,803,796,790,775,748,718,705,690,669,638,600,570,538,509,477,443,408,385,370,362,346,335,318,300,267,246,225,179,129,100,86
rpmc,100,3,2,vacuole,7,6681,6287,3337,2943,2726,2602,2328,2059,1883,1741,1609,1502,1414,1347,1283,1237,1199,1184,1163,1153,1144,1137,1127,1119,1112,1094,1086,1082,1076,1068,1062,1053,1046,1039,1036,1027,1021,1009,1001,989,979,949,923,870,846,820,794,771,737,710,672,637,585,558,527,511,489,470,464,451,444,433,422,411,405,398,390,383,380,375,370,355,349,344,330,324,316,310,304,297,274,265,252,241,230,225,220,213,211,209,205,197,193,183,177,168,151,141,124,107
rpmc,100,3,2,vacuole,8,4434,4177,2680,2524,2388,2312,2197,2064,1933,1811,1689,1602,1491,1411,1325,1261,1220,1192,1163,1151,1140,1131,1122,1115,1107,1102,1096,1093,1085,1083,1079,1075,1068,1063,1056,1055,1044,1028,1003,977,961,932,909,880,868,847,834,818,801,781,755,730,701,675,654,644,623,604,583,572,563,554,542,535,521,515,508,506,500,492,491,488,483,480,479,469,462,457,453,444,424,407,395,374,362,346,334,321,312,307,299,296,290,283,269,251,238,219,184,132
rpmc,100,3,2,vacuole,9,4770,4559,3512,3321,3136,3014,2878,2728,2551,2410,2299,2171,2019,1893,1775,1660,1590,1543,1506,1487,1457,1430,1407,1386,1365,1344,1325,1302,1281,1263,1245,1227,1214,1207,1195,1189,1181,1168,1150,1144,1132,1122,1118,1104,1090,1079,1067,1053,1033,1015,994,968,935,903,877,846,820,799,767,749,729,712,694,683,669,655,649,642,639,636,635,633,632,630,628,627,624,621,616,602,582,562,542,531,519,499,486,468,447,426,408,399,395,389,382,369,352,339,304,201
rpmc,100,3,2,vacuole,11,4572,4374,3242,3047,2948,2867,2745,2593,2479,2334,2200,2063,1925,1785,1637,1529,1459,1404,1360,1335,1300,1275,1252,1236,1208,1187,1158,1137,1116,1095,1077,1066,1049,1043,1036,1026,1017,1010,998,990,978,956,940,925,918,907,890,874,856,831,807,786,756,717,686,667,636,616,599,586,577,563,550,528,507,492,472,465,465,462,461,459,457,456,452,451,451,450,441,427,414,401,385,370,351,342,335,317,301,282,270,262,260,257,251,242,224,209,179,158
