organelle,index,segmented,average,standard_deviation
peroxisome,1,164.0,169.60105,37.80019032885284
peroxisome,2,108.0,85.83475,20.24339750233394
peroxisome,3,0.0,0.0,0.0
peroxisome,4,61.0,58.9071,13.580337609573629
peroxisome,5,33.0,20.51615,9.151526603660178
peroxisome,6,34.0,31.14605,8.18532952284146
peroxisome,7,173.0,169.174,38.106629659417536
peroxisome,8,53.0,38.55155,11.016775508173888
peroxisome,9,47.0,32.7091,12.966667929348697
peroxisome,10,123.0,108.12535,26.637523108905977
peroxisome,11,394.0,377.50245,83.48555260640909
peroxisome,12,40.0,27.7729,6.0482167280943235
peroxisome,13,99.0,92.45885,21.96139355044438
peroxisome,14,131.0,102.7984,23.415365840404885
peroxisome,15,133.0,141.0026,29.736188276912696
peroxisome,16,0.0,0.0,0.0
peroxisome,17,89.0,98.67245,22.4814225750396
peroxisome,18,52.0,36.3857,9.568455231122734
peroxisome,19,176.0,180.84495,38.80193435252294
peroxisome,20,204.0,200.2802,45.645730227043146
peroxisome,21,102.0,96.4465,20.778973452747852
peroxisome,22,6.0,0.144,0.9027535654872818
peroxisome,23,99.0,94.9259,21.71966181113325
peroxisome,24,135.0,130.8588,30.063823152752878
peroxisome,25,87.0,92.3385,20.718337716863292
peroxisome,26,39.0,41.66175,8.00451978181702
peroxisome,28,72.0,57.4478,14.081337832748705
peroxisome,29,14.0,3.33605,5.3625945583737735
peroxisome,30,7.0,0.0034,0.12078261464300231
peroxisome,31,117.0,129.53235,28.955200801885315
peroxisome,32,126.0,131.2616,27.814563908858972
peroxisome,33,345.0,357.56635,76.35233655676491
peroxisome,34,62.0,65.45575,15.448243975853696
peroxisome,35,0.0,0.0,0.0
peroxisome,36,88.0,86.91315,16.76346047442174
peroxisome,37,49.0,49.55885,10.53210504493285
peroxisome,38,46.0,50.60935,14.262122653290428
peroxisome,39,9.0,9.05365,2.566334287948474
peroxisome,40,249.0,289.8444,67.78254339164326
peroxisome,42,49.0,29.4535,7.2566064899510705
peroxisome,43,151.0,157.7001,35.66254281441524
peroxisome,44,232.0,250.88035,57.95067241954575
peroxisome,46,91.0,94.3293,21.561135441112558
peroxisome,47,120.0,128.93335,25.78508886503012
peroxisome,48,125.0,119.21035,26.7299888304784
peroxisome,49,29.0,30.30905,6.93484232679446
peroxisome,50,101.0,102.8081,20.879810209625948
peroxisome,51,105.0,101.471,21.6377392303355
peroxisome,52,76.0,72.68865,16.606589390284206
peroxisome,53,36.0,43.82625,11.357973452051207
peroxisome,56,191.0,202.2921,39.271964269565125
peroxisome,57,78.0,59.7045,16.617144151447928
peroxisome,59,79.0,71.255,14.555025764319346
peroxisome,60,47.0,47.84795,9.259537288520415
peroxisome,61,74.0,68.6039,17.277754622346045
peroxisome,62,137.0,129.87815,31.064120824151775
peroxisome,63,84.0,82.1408,22.66548643554777
peroxisome,66,35.0,34.53335,7.02282619587727
peroxisome,67,98.0,95.58795,23.403962587508552
peroxisome,68,121.0,122.37185,26.68716878159802
peroxisome,70,138.0,137.1592,25.810859252647905
peroxisome,72,116.0,115.34865,23.216379846511384
peroxisome,75,85.0,90.9409,21.666139646692947
peroxisome,76,40.0,33.1654,7.454545112882475
peroxisome,77,38.0,36.70965,8.876122288336274
peroxisome,78,255.0,261.44655,56.97686936904747
peroxisome,80,0.0,0.0,0.0
peroxisome,81,61.0,59.63935,13.273088622377989
peroxisome,82,38.0,14.45395,10.97882413546642
peroxisome,85,58.0,59.8601,14.041236697314094
peroxisome,87,30.0,26.13845,6.806040081978654
peroxisome,88,46.0,47.81985,9.98863834451423
