organelle,index,segmented,average,standard_deviation
peroxisome,1,164.0,165.7272,18.33897980150477
peroxisome,2,108.0,87.9007,10.823319246423438
peroxisome,3,0.0,0.0,0.0
peroxisome,4,61.0,58.369,6.522402854776757
peroxisome,5,33.0,24.87865,5.592988841174279
peroxisome,6,34.0,31.442,4.332693850250673
peroxisome,7,173.0,166.15365,18.900887325136353
peroxisome,8,53.0,46.68325,8.166126342244528
peroxisome,9,47.0,34.1235,10.074544543055035
peroxisome,10,123.0,116.9463,14.845838349854144
peroxisome,11,394.0,379.1813,40.87927507074948
peroxisome,12,40.0,36.2624,5.696107990549336
peroxisome,13,99.0,93.81225,10.19030911883933
peroxisome,14,131.0,113.9779,13.60987184326142
peroxisome,15,133.0,137.9322,15.985362152919777
peroxisome,16,0.0,0.0,0.0
peroxisome,17,89.0,92.59255,11.455524191301768
peroxisome,18,52.0,42.64455,6.1775242045256284
peroxisome,19,176.0,176.00015,17.830001401500226
peroxisome,20,204.0,198.5917,21.251397391936372
peroxisome,21,102.0,98.94235,10.420351552490924
peroxisome,22,6.0,5.65975,0.7231735182513254
peroxisome,23,99.0,95.45125,10.323309713338062
peroxisome,24,135.0,130.94815,14.162505483758867
peroxisome,25,87.0,87.9974,10.022688922639473
peroxisome,26,39.0,39.5849,3.5751632116590146
peroxisome,28,72.0,66.3632,10.798175112490073
peroxisome,29,14.0,13.61345,2.481094334663638
peroxisome,30,7.0,0.0111,0.22710523992193574
peroxisome,31,117.0,123.35855,13.621570830763241
peroxisome,32,126.0,126.42005,11.754914206301125
peroxisome,33,345.0,347.4139,34.21366520544094
peroxisome,34,62.0,61.6774,6.944769919874956
peroxisome,35,0.0,0.0,0.0
peroxisome,36,88.0,90.8538,8.284885367945655
peroxisome,37,49.0,48.2571,4.506084729562905
peroxisome,38,46.0,46.93735,5.650108404048545
peroxisome,39,9.0,8.79465,1.3853813112280677
peroxisome,40,249.0,275.6968,37.26870764810607
peroxisome,42,49.0,44.67895,7.271951381678787
peroxisome,43,151.0,153.3894,17.033662778157844
peroxisome,44,232.0,240.5262,25.620277390379677
peroxisome,46,91.0,92.82255,10.264592612349503
peroxisome,47,120.0,123.77965,11.984927862840893
peroxisome,48,125.0,119.23045,12.45193731101711
peroxisome,49,29.0,29.5931,3.0728378398477196
peroxisome,50,101.0,98.21255,8.709941015730244
peroxisome,51,105.0,100.3194,8.471049736602897
peroxisome,52,76.0,72.8963,8.171630578409673
peroxisome,53,36.0,40.82075,5.5412831941257075
peroxisome,56,191.0,194.62085,14.746941895779614
peroxisome,57,78.0,67.41105,11.081208774204194
peroxisome,59,79.0,74.5608,7.748813029103231
peroxisome,60,47.0,46.53845,4.106692293987948
peroxisome,61,74.0,68.8112,9.777937132135797
peroxisome,62,137.0,129.2513,16.607731582308283
peroxisome,63,84.0,80.8144,13.293868986867592
peroxisome,66,35.0,34.4489,2.909791880873957
peroxisome,67,98.0,95.8667,13.712699628811242
peroxisome,68,121.0,119.1977,11.410969052188337
peroxisome,70,138.0,139.6105,11.873912150171906
peroxisome,72,116.0,113.44025,11.124568752877568
peroxisome,75,85.0,88.0821,11.093599938252686
peroxisome,76,40.0,32.3912,3.2908756524669838
peroxisome,77,38.0,36.1914,4.7002942503634815
peroxisome,78,255.0,257.71685,28.107978868597083
peroxisome,80,0.0,0.0,0.0
peroxisome,81,61.0,59.469,7.441910977699209
peroxisome,82,38.0,21.5298,6.1994122269776515
peroxisome,85,58.0,57.60655,7.0084696687294015
peroxisome,87,30.0,27.1827,4.364472558053264
peroxisome,88,46.0,46.85485,4.703018336930019
peroxisome,89,186.0,175.173,19.11929839193897
peroxisome,90,114.0,108.7984,14.402501777121918
peroxisome,91,31.0,27.51565,5.330399148046983
peroxisome,92,64.0,52.64855,9.325531239425453
peroxisome,93,39.0,34.02425,6.135997224371928
