experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99
glu,100,3,4,mitochondria,1,514030,390766,308810,294740,263344,254427,241351,230276,220193,209460,200591,198015,195240,193519,190873,188132,184714,182388,180269,178595,176032,173823,170488,167212,164173,162291,161093,159127,156561,154644,154220,153701,153308,152760,152137,151410,150894,150089,149006,147775,146998,146697,146434,146143,145846,145507,145180,145014,144849,144597,144159,143646,143069,142552,141591,139914,137993,136610,135861,134916,134183,133657,132880,131983,131175,130391,129266,127414,122505,112536,105052,103483,102244,99963,98806,97282,96011,94664,90350,88559,86133,83758,82135,80487,77236,74712,72272,70864,68913,67656,56830,53246,49094,47088,44141,39636,30867,7991,4341,407
glu,100,3,4,mitochondria,2,513496,390469,308565,294525,263185,254283,241215,230151,220076,209357,200497,197924,195152,193432,190787,188050,184635,182313,180196,178523,175961,173754,170421,167147,164108,162231,161033,159068,156502,154586,154162,153643,153250,152703,152081,151355,150839,150035,148953,147723,146947,146646,146383,146093,145796,145457,145130,144964,144799,144547,144109,143596,143019,142502,141541,139867,137946,136564,135815,134870,134138,133612,132835,131938,131130,130346,129221,127369,122461,112492,105010,103442,102204,99927,98770,97247,95977,94630,90316,88530,86107,83733,82111,80464,77215,74693,72253,70845,68896,67639,56814,53231,49081,47077,44132,39627,30858,7991,4341,407
glu,100,3,4,mitochondria,3,513320,390412,308531,294498,263164,254265,241198,230137,220067,209352,200493,197920,195148,193428,190783,188046,184631,182309,180192,178520,175958,173751,170419,167145,164106,162229,161031,159066,156500,154584,154160,153641,153248,152701,152079,151353,150837,150033,148951,147721,146945,146644,146381,146091,145794,145456,145129,144963,144798,144546,144108,143595,143018,142501,141540,139866,137945,136563,135814,134869,134137,133611,132834,131937,131129,130346,129221,127369,122461,112492,105010,103442,102204,99927,98770,97247,95977,94630,90316,88530,86107,83733,82111,80464,77215,74693,72253,70845,68896,67639,56814,53231,49081,47077,44132,39627,30858,7991,4341,407
glu,100,3,4,mitochondria,4,512658,390019,308215,294203,262943,254061,241007,229959,219908,209203,200359,197790,195020,193302,190662,187925,184517,182198,180084,178416,175855,173648,170319,167046,164009,162134,160937,158972,156407,154492,154068,153551,153159,152613,151993,151267,150754,149950,148868,147638,146863,146562,146299,146011,145714,145376,145049,144883,144718,144468,144030,143517,142940,142423,141462,139790,137872,136490,135742,134798,134068,133542,132765,131869,131061,130279,129154,127304,122400,112434,104956,103388,102150,99874,98717,97194,95924,94577,90265,88482,86060,83686,82065,80418,77172,74652,72213,70805,68856,67599,56777,53194,49044,47041,44097,39595,30845,7985,4337,407
glu,100,3,4,mitochondria,5,512426,389930,308156,294157,262921,254040,240986,229943,219896,209194,200352,197783,195013,193295,190656,187919,184511,182192,180078,178410,175850,173643,170315,167042,164006,162131,160934,158969,156405,154490,154066,153549,153157,152611,151991,151265,150752,149948,148866,147636,146861,146560,146297,146009,145712,145374,145047,144881,144716,144466,144028,143515,142938,142421,141460,139788,137870,136488,135740,134796,134066,133540,132763,131868,131060,130278,129153,127303,122399,112433,104955,103387,102149,99873,98716,97193,95923,94576,90264,88481,86059,83685,82064,80417,77171,74651,72212,70804,68855,67598,56776,53193,49043,47040,44096,39594,30845,7985,4337,407
glu,100,3,4,mitochondria,6,511905,389568,307878,293899,262706,253834,240787,229756,219725,209039,200214,197648,194882,193168,190529,187795,184391,182076,179965,178298,175739,173533,170207,166936,163903,162028,160833,158871,156309,154396,153972,153456,153065,152520,151902,151177,150664,149862,148780,147552,146778,146477,146215,145927,145630,145292,144965,144799,144634,144384,143946,143433,142856,142340,141380,139709,137794,136413,135665,134721,133991,133465,132688,131793,130985,130204,129081,127234,122336,112374,104900,103334,102098,99825,98668,97146,95877,94530,90223,88445,86028,83654,82035,80389,77143,74629,72190,70783,68836,67579,56762,53179,49033,47032,44090,39590,30842,7985,4337,407
glu,100,3,4,mitochondria,7,511736,389522,307852,293879,262696,253826,240779,229752,219721,209035,200210,197644,194878,193164,190525,187791,184388,182073,179962,178295,175736,173530,170205,166934,163901,162026,160831,158869,156307,154394,153970,153454,153063,152518,151900,151175,150662,149860,148778,147550,146776,146475,146213,145926,145629,145291,144964,144798,144633,144383,143945,143432,142855,142339,141379,139708,137793,136412,135664,134720,133990,133464,132687,131792,130984,130203,129080,127234,122336,112374,104900,103334,102098,99825,98668,97146,95877,94530,90223,88445,86028,83654,82035,80389,77143,74629,72190,70783,68836,67579,56762,53179,49033,47032,44090,39590,30842,7985,4337,407
glu,100,3,4,mitochondria,9,511138,389087,307487,293549,262397,253539,240508,229500,219479,208797,199985,197422,194660,192947,190313,187583,184185,181871,179762,178098,175541,173339,170018,166748,163722,161851,160656,158696,156137,154225,153801,153285,152894,152349,151732,151008,150495,149693,148612,147386,146615,146315,146053,145767,145470,145133,144807,144642,144477,144227,143789,143277,142701,142187,141228,139559,137646,136268,135520,134576,133846,133320,132546,131652,130845,130065,128942,127097,122208,112251,104787,103223,101990,99720,98564,97044,95778,94433,90126,88351,85936,83563,81946,80304,77059,74549,72114,70708,68764,67508,56695,53116,48975,46974,44036,39538,30803,7983,4336,407
glu,100,3,4,mitochondria,10,510807,388979,307404,293485,262360,253506,240477,229475,219457,208780,199970,197408,194646,192934,190301,187571,184173,181859,179751,178089,175532,173331,170010,166740,163714,161843,160649,158689,156131,154219,153795,153280,152890,152345,151729,151005,150492,149690,148609,147383,146612,146312,146050,145764,145467,145130,144804,144639,144474,144224,143786,143274,142698,142184,141225,139556,137643,136265,135517,134573,133843,133317,132543,131649,130842,130062,128939,127094,122205,112248,104784,103220,101987,99717,98561,97041,95775,94430,90123,88348,85933,83561,81944,80302,77058,74548,72113,70707,68763,67507,56694,53115,48974,46973,44036,39538,30803,7983,4336,407
glu,100,3,4,mitochondria,11,510630,388909,307353,293442,262327,253478,240452,229453,219442,208769,199959,197397,194635,192923,190290,187560,184163,181849,179742,178080,175523,173322,170002,166734,163709,161838,160644,158685,156127,154215,153791,153276,152886,152341,151725,151001,150488,149686,148605,147380,146609,146309,146047,145761,145464,145127,144801,144636,144471,144221,143783,143271,142695,142181,141222,139553,137641,136263,135515,134571,133841,133315,132541,131647,130840,130060,128937,127092,122203,112248,104784,103220,101987,99717,98561,97041,95775,94430,90123,88348,85933,83561,81944,80302,77058,74548,72113,70707,68763,67507,56694,53115,48974,46973,44036,39538,30803,7983,4336,407
