organelle,wavelength,intensity,experiment,field_of_view
mitochondria,570.885,0.09427413197020393,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
mitochondria,580.875,0.20498400361249408,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
mitochondria,590.87,0.29585557351116465,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
mitochondria,600.865,0.44261823805561884,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
mitochondria,610.86,0.19464042833898904,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
LD,570.885,0.11314569409323913,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
LD,580.875,0.2504529627627416,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
LD,590.87,0.3393378296524911,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
LD,600.865,0.4830029507680361,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
LD,610.86,0.21916909548201532,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
mitochondria,570.885,0.2567996197032208,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
mitochondria,580.875,0.31201812425740655,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
mitochondria,590.87,0.3417900753438212,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
mitochondria,600.865,0.551854095641844,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
mitochondria,610.86,0.20504612887734563,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
LD,570.885,0.2430422042630508,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
LD,580.875,0.3287330247419025,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
LD,590.87,0.3728706665860074,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
