organelle,wavelength,intensity,experiment,field_of_view
peroxisome,463.8,0.3385969915841085,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
peroxisome,473.78,0.7197074424698103,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
peroxisome,483.765,0.6870570274326522,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
peroxisome,493.745,0.6082159520620543,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
peroxisome,503.735,0.22683894547014039,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
vacuole,463.8,0.12473093000510188,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
vacuole,473.78,0.32083391253625426,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
vacuole,483.765,0.5227128161245084,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
vacuole,493.745,0.6975469903885227,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
vacuole,503.735,0.2776038183899695,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-0
peroxisome,463.8,0.3890159641015283,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
peroxisome,473.78,0.7423335005102744,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
peroxisome,483.765,0.6971864108801096,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
peroxisome,493.745,0.6234412398049312,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
peroxisome,503.735,0.233284418542456,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
vacuole,463.8,0.18798577494461977,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
vacuole,473.78,0.3635745234297518,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
vacuole,483.765,0.5453779088434557,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
vacuole,493.745,0.7238882869351932,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
vacuole,503.735,0.28876962637257503,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-1
peroxisome,463.8,0.4163290758097676,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
peroxisome,473.78,0.7596615983410516,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
peroxisome,483.765,0.7099808246433256,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
peroxisome,493.745,0.6334165478428309,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
peroxisome,503.735,0.23764251043423334,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
vacuole,463.8,0.2377506633781419,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
vacuole,473.78,0.38617968975846834,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
vacuole,483.765,0.5564334557209922,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
vacuole,493.745,0.7341362319970111,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
vacuole,503.735,0.29454241203312104,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-2
peroxisome,463.8,0.4088014823055948,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
peroxisome,473.78,0.7758567445297923,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
peroxisome,483.765,0.7256954220021843,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
peroxisome,493.745,0.6454833188935184,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
peroxisome,503.735,0.26841975586483846,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
vacuole,463.8,0.28075370056863724,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
vacuole,473.78,0.39940558764715717,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
vacuole,483.765,0.5628909616713775,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
vacuole,493.745,0.7444613167062796,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
vacuole,503.735,0.33047621633587226,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-3
peroxisome,463.8,0.45670158883505324,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
peroxisome,473.78,0.7734429222025899,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
peroxisome,483.765,0.7237487092776451,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
peroxisome,493.745,0.6453695299885777,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
peroxisome,503.735,0.24822940606884672,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
vacuole,463.8,0.32130452681894334,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
vacuole,473.78,0.4244850829310862,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
vacuole,483.765,0.5892318498007434,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
vacuole,493.745,0.7507373071495869,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
vacuole,503.735,0.3090963296393751,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-4
peroxisome,463.8,0.47136177309125277,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,473.78,0.782151901557521,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,483.765,0.7275168241646125,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,493.745,0.6489502048488279,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,503.735,0.25519865221905697,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,463.8,0.3482636028055366,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,473.78,0.4287228142085847,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,483.765,0.5886265630918506,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,493.745,0.7607142860746815,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
vacuole,503.735,0.3230942366479836,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0-5_field-5
peroxisome,463.8,0.4380859633876431,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,473.78,0.7851179097291149,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,483.765,0.7401368355903962,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,493.745,0.6542542582159865,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
peroxisome,503.735,0.28153118615814804,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-0
