path_in,path_cell,path_out,RESULT,ERR_MESSAGES
images\labelled\EYrainbow_glucose\label-peroxisome_EYrainbow_glu-0-5_field-0.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-0.tif,data\results\EYrainbow_glucose\peroxisome_EYrainbow_glu-0-5_field-0.csv,True,
images\labelled\EYrainbow_glucose\label-ER_EYrainbow_glu-0-5_field-0.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-0.tif,data\results\EYrainbow_glucose\ER_EYrainbow_glu-0-5_field-0.csv,True,
images\labelled\EYrainbow_glucose\label-golgi_EYrainbow_glu-0-5_field-0.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-0.tif,data\results\EYrainbow_glucose\golgi_EYrainbow_glu-0-5_field-0.csv,True,
images\labelled\EYrainbow_glucose\label-mitochondria_EYrainbow_glu-0-5_field-0.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-0.tif,data\results\EYrainbow_glucose\mitochondria_EYrainbow_glu-0-5_field-0.csv,True,
images\labelled\EYrainbow_glucose\label-LD_EYrainbow_glu-0-5_field-0.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-0.tif,data\results\EYrainbow_glucose\LD_EYrainbow_glu-0-5_field-0.csv,True,
images\labelled\EYrainbow_glucose\label-vacuole_EYrainbow_glu-0-5_field-0.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-0.tif,data\results\EYrainbow_glucose\vacuole_EYrainbow_glu-0-5_field-0.csv,False,"FileNotFoundError(2, 'No such file or directory')"
images\labelled\EYrainbow_glucose\label-peroxisome_EYrainbow_glu-0-5_field-1.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-1.tif,data\results\EYrainbow_glucose\peroxisome_EYrainbow_glu-0-5_field-1.csv,True,
images\labelled\EYrainbow_glucose\label-ER_EYrainbow_glu-0-5_field-1.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-1.tif,data\results\EYrainbow_glucose\ER_EYrainbow_glu-0-5_field-1.csv,True,
images\labelled\EYrainbow_glucose\label-golgi_EYrainbow_glu-0-5_field-1.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-1.tif,data\results\EYrainbow_glucose\golgi_EYrainbow_glu-0-5_field-1.csv,True,
images\labelled\EYrainbow_glucose\label-mitochondria_EYrainbow_glu-0-5_field-1.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-1.tif,data\results\EYrainbow_glucose\mitochondria_EYrainbow_glu-0-5_field-1.csv,True,
images\labelled\EYrainbow_glucose\label-LD_EYrainbow_glu-0-5_field-1.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-1.tif,data\results\EYrainbow_glucose\LD_EYrainbow_glu-0-5_field-1.csv,True,
images\labelled\EYrainbow_glucose\label-vacuole_EYrainbow_glu-0-5_field-1.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-1.tif,data\results\EYrainbow_glucose\vacuole_EYrainbow_glu-0-5_field-1.csv,False,"FileNotFoundError(2, 'No such file or directory')"
images\labelled\EYrainbow_glucose\label-peroxisome_EYrainbow_glu-0-5_field-2.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-2.tif,data\results\EYrainbow_glucose\peroxisome_EYrainbow_glu-0-5_field-2.csv,True,
images\labelled\EYrainbow_glucose\label-ER_EYrainbow_glu-0-5_field-2.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-2.tif,data\results\EYrainbow_glucose\ER_EYrainbow_glu-0-5_field-2.csv,True,
images\labelled\EYrainbow_glucose\label-golgi_EYrainbow_glu-0-5_field-2.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-2.tif,data\results\EYrainbow_glucose\golgi_EYrainbow_glu-0-5_field-2.csv,True,
images\labelled\EYrainbow_glucose\label-mitochondria_EYrainbow_glu-0-5_field-2.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-2.tif,data\results\EYrainbow_glucose\mitochondria_EYrainbow_glu-0-5_field-2.csv,True,
images\labelled\EYrainbow_glucose\label-LD_EYrainbow_glu-0-5_field-2.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-2.tif,data\results\EYrainbow_glucose\LD_EYrainbow_glu-0-5_field-2.csv,True,
images\labelled\EYrainbow_glucose\label-vacuole_EYrainbow_glu-0-5_field-2.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-2.tif,data\results\EYrainbow_glucose\vacuole_EYrainbow_glu-0-5_field-2.csv,False,"FileNotFoundError(2, 'No such file or directory')"
images\labelled\EYrainbow_glucose\label-peroxisome_EYrainbow_glu-0-5_field-3.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-3.tif,data\results\EYrainbow_glucose\peroxisome_EYrainbow_glu-0-5_field-3.csv,True,
images\labelled\EYrainbow_glucose\label-ER_EYrainbow_glu-0-5_field-3.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-3.tif,data\results\EYrainbow_glucose\ER_EYrainbow_glu-0-5_field-3.csv,True,
images\labelled\EYrainbow_glucose\label-golgi_EYrainbow_glu-0-5_field-3.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-3.tif,data\results\EYrainbow_glucose\golgi_EYrainbow_glu-0-5_field-3.csv,True,
images\labelled\EYrainbow_glucose\label-mitochondria_EYrainbow_glu-0-5_field-3.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-3.tif,data\results\EYrainbow_glucose\mitochondria_EYrainbow_glu-0-5_field-3.csv,True,
images\labelled\EYrainbow_glucose\label-LD_EYrainbow_glu-0-5_field-3.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-3.tif,data\results\EYrainbow_glucose\LD_EYrainbow_glu-0-5_field-3.csv,True,
images\labelled\EYrainbow_glucose\label-vacuole_EYrainbow_glu-0-5_field-3.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-3.tif,data\results\EYrainbow_glucose\vacuole_EYrainbow_glu-0-5_field-3.csv,False,"FileNotFoundError(2, 'No such file or directory')"
images\labelled\EYrainbow_glucose\label-peroxisome_EYrainbow_glu-0-5_field-4.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-4.tif,data\results\EYrainbow_glucose\peroxisome_EYrainbow_glu-0-5_field-4.csv,True,
images\labelled\EYrainbow_glucose\label-ER_EYrainbow_glu-0-5_field-4.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-4.tif,data\results\EYrainbow_glucose\ER_EYrainbow_glu-0-5_field-4.csv,True,
images\labelled\EYrainbow_glucose\label-golgi_EYrainbow_glu-0-5_field-4.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-4.tif,data\results\EYrainbow_glucose\golgi_EYrainbow_glu-0-5_field-4.csv,True,
images\labelled\EYrainbow_glucose\label-mitochondria_EYrainbow_glu-0-5_field-4.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-4.tif,data\results\EYrainbow_glucose\mitochondria_EYrainbow_glu-0-5_field-4.csv,True,
images\labelled\EYrainbow_glucose\label-LD_EYrainbow_glu-0-5_field-4.tiff,images\cell\EYrainbow_glucose\binCellGreenClrBdr_EYrainbow_glu-0-5_field-4.tif,data\results\EYrainbow_glucose\LD_EYrainbow_glu-0-5_field-4.csv,True,
